Name,Joint,Contact,Feats,,,,,,,,,,
mug_1_3dwh2.ply,fixed,no,-0.0306380363,-0.0212472674,-0.0104275201,0.0037709242,-0.0016309693,-0.0047187797,-0.0069422232,-0.0063354876,0.0012398423,0.0033189522,0.0025337154
tablefork_13_3dwh1.ply,fixed,no,0.063059345,0.0067673394,0.0004051953,-0.006785147,-0.0032969926,0.0017436847,-0.0002851408,0.002307381,-0.0134859196,-0.0052062844,-0.0042945177
pen_1_3dwh2.ply,fixed,point,-0.0128448983,-0.023318448,0.0198812386,-0.0026968058,-0.0201121413,-0.0055230333,-0.0083183857,-0.0065808992,0.0028597628,-0.0061173863,0.0004557937
scissor1_2.ply,revolute,point,-0.0024269919,-0.0165578133,-0.0015674543,-0.0031438618,-0.0027795743,0.0231753467,0.0042238967,-0.0013042357,0.0045722771,0.001370904,0.0003341892
pen_1_3dwh1.ply,fixed,point,-0.0276832095,-0.0226556084,0.02324001,-0.0010165683,-0.010096652,-0.0070859231,-0.01623959,0.0039379463,0.0035581475,-0.0121050141,-0.0071065682
chopstick_1_3dwh1.ply,fixed,point,0.0774247612,0.0112518919,0.011019433,0.0421329397,0.0100356707,-0.0049030181,0.005646744,0.0053586981,0.0216002283,-0.001047986,0.0047249046
pliers1_2.ply,revolute,point,-0.0371945588,-0.0266075255,0.0040769578,0.0064793165,-0.0047255405,0.0148553392,0.0016325007,-0.0062735194,0.0035124753,0.0026588905,0.0010293506
chopstick_7_3dwh1.ply,fixed,point,0.0771913739,0.0112866592,0.0106892696,0.0394224354,0.008955104,-0.0046419482,0.0051923364,0.0049479737,0.0139119491,-0.0023116925,0.0025632065
tablefork_18_3dwh2.ply,fixed,point,0.0584933502,0.0013291307,-0.0038497129,-0.0212099074,-0.0054576602,0.0087219339,-0.0032928947,-0.0002374332,0.0018430074,0.0024921468,0.0014390183
tablefork_19_3dwh4.ply,fixed,point,0.0100872268,-0.016460338,-0.0170323813,-0.0175271766,0.0048985449,-0.0077388602,0.0045129652,0.0022652981,0.0091423007,0.0026917763,0.0004356478
pliers3_2.ply,revolute,point,-0.025633569,-0.0080823993,0.0298742779,-0.006886466,0.0036950467,0.0091967965,0.0014523777,0.0011807537,2.69891735924623E-005,0.0039686078,0.0030170502
tablefork_14_3dwh2.ply,fixed,point,0.0451900913,-0.0024468877,-0.0112091376,-0.0290390129,-0.0025097482,-0.0001623688,-0.000008892,0.0032887494,0.006931743,-0.0004239798,0.0013357925
tablefork_13_3dwh2.ply,fixed,point,0.0414422233,-0.0063114295,-0.0071029917,-0.0136267088,-0.0008068877,0.005790587,-0.004254471,-0.0061303748,0.0015609642,0.0094402274,0.0035699593
scissors_2_seg2.ply,revolute,point,0.0512240911,-0.0013148791,-0.0020091276,-0.0073889168,-0.0018274516,0.0026169303,-0.0039393737,-0.0060671836,-0.0071792411,0.0051782207,0.0001751399
